OBJECTID,src_HUC10_NAME,UpDwn,nbr_HUC10_NAME,src_STREAM_ORD,nbr_STREAM_ORD
11,Ames Branch-Pecatonica River,Downstream,Mineral Point Branch,5,5
19,Ashippun River-Rock River,Downstream,Oconomowoc River,6,4
20,Ashippun River-Rock River,Downstream,Rubicon River,6,4
21,Ashippun River-Rock River,Downstream,Sinnissippi Lake-Rock River,6,6
24,Bad River-Frontal Lake Superior,Downstream,Headwaters Bad River,6,5
25,Bad River-Frontal Lake Superior,Downstream,Marengo River,6,6
27,Bad River-Frontal Lake Superior,Downstream,Potato River,6,5
28,Bad River-Frontal Lake Superior,Downstream,Tyler Forks,6,4
29,Bad River-Frontal Lake Superior,Downstream,White River,6,5
31,Balsam Branch-Apple River,Downstream,Beaver Brook-Apple River,6,5
35,Bark River,Downstream,Scupperenong River,6,5
36,Bark River,Downstream,Whitewater Creek,6,5
41,Bear Creek-Chippewa River,Downstream,Cranberry Creek-Chippewa River,8,7
42,Bear Creek-Chippewa River,Downstream,Eau Galle River,8,5
43,Bear Creek-Chippewa River,Downstream,Lake Menomin-Red Cedar River,8,7
45,Bear Creek-Chippewa River,Downstream,Plum Creek,8,4
47,Bear Creek-Embarrass River,Downstream,North Branch Embarrass River-Embarrass River,5,5
49,Bear Creek-Embarrass River,Downstream,Pigeon River,5,4
51,Bear Creek-Kickapoo River,Downstream,Headwaters Kickapoo River,5,5
56,Bear Creek-Wolf River,Downstream,School Section Creek-Wolf River,6,6
57,Bear Creek-Wolf River,Downstream,Shioc River,6,5
62,Beaver Creek,Downstream,East Fork Black River,6,5
69,Big Marine Lake-Saint Croix River,Downstream,Balsam Branch-Apple River,6,6
71,Big Marine Lake-Saint Croix River,Downstream,Wolf Creek-Saint Croix River,6,6
73,Big River-Mississippi River,Downstream,Lake Saint Croix,6,6
75,Big Sandy Creek-Eau Claire River,Downstream,Black Brook-Eau Claire River,5,4
77,Big Sandy Creek-Eau Claire River,Downstream,Spring Brook,5,3
88,Blake Creek-Little Wolf River,Downstream,Flume Creek-Little Wolf River,5,4
90,Blake Creek-Little Wolf River,Downstream,South Branch Little Wolf River,5,4
91,Bloody Run-Mississippi River,Downstream,Rush Creek-Mississippi River,8,8
96,Blue Mounds Creek,Downstream,Black Earth Creek,5,5
103,Brill River-Red Cedar River,Downstream,Red Cedar Lake,5,5
105,Brule River,Downstream,Iron River-Brule River,6,4
107,Brunet River-Chippewa River,Downstream,Couderay River,6,4
109,Brunet River-Chippewa River,Downstream,Lake Chippewa,6,6
111,Bull Creek-Des Plaines River,Downstream,Headwaters Des Plaines River,4,4
112,Bull Creek-Des Plaines River,Downstream,Mill Creek,4,3
115,Castle Rock Lake-Wisconsin River,Downstream,Big Roche a Cri Creek,7,4
117,Castle Rock Lake-Wisconsin River,Downstream,Little Roche a Cri Creek,7,4
118,Castle Rock Lake-Wisconsin River,Downstream,Little Yellow River-Yellow River,7,6
120,Castle Rock Lake-Wisconsin River,Downstream,Petenwell Lake-Wisconsin River,7,7
122,Chases Brook-Saint Croix River,Downstream,Clam River,6,5
124,Chases Brook-Saint Croix River,Downstream,Lower Tamarack River,6,4
125,Chases Brook-Saint Croix River,Downstream,Moose River-Saint Croix River,6,4
126,Chases Brook-Saint Croix River,Downstream,Namekagon River,6,6
127,Chases Brook-Saint Croix River,Downstream,Upper Tamarack River,6,4
128,Chases Brook-Saint Croix River,Downstream,Yellow Lake-Yellow River,6,4
131,City of Beloit-Lower Rock River,Downstream,Bass Creek,7,4
132,City of Beloit-Lower Rock River,Downstream,Marsh Creek-Rock River,7,7
134,City of Beloit-Lower Rock River,Downstream,Turtle Creek,7,5
135,City of Boscobel-Wisconsin River,Downstream,Big Green River,7,4
136,City of Boscobel-Wisconsin River,Downstream,Blue River,7,6
137,City of Boscobel-Wisconsin River,Downstream,City of Spring Green-Wisconsin River,7,7
138,City of Boscobel-Wisconsin River,Downstream,Hoosier Hollow-Mill Creek,7,4
140,City of Boscobel-Wisconsin River,Downstream,Knapp Creek,7,4
142,City of Spring Green-Wisconsin River,Downstream,Bear Creek,7,4
143,City of Spring Green-Wisconsin River,Downstream,Blue Mounds Creek,7,5
145,City of Spring Green-Wisconsin River,Downstream,Honey Creek,7,5
146,City of Spring Green-Wisconsin River,Downstream,Otter Creek,7,5
147,City of Spring Green-Wisconsin River,Downstream,Otter Creek-Wisconsin River,7,7
148,City of Spring Green-Wisconsin River,Downstream,Pine River,7,5
149,City of Spring Green-Wisconsin River,Downstream,Trout Creek-Mill Creek,7,4
150,City of Stevens Point-Wisconsin River,Downstream,Lake Dubay-Wisconsin River,7,7
151,City of Stevens Point-Wisconsin River,Downstream,MIll Creek,7,4
153,City of Stevens Point-Wisconsin River,Downstream,Plover River,7,4
154,City of Winona-Mississippi River,Downstream,Bear Creek-Chippewa River,8,8
155,City of Winona-Mississippi River,Downstream,Elk Creek-Buffalo River,8,5
157,City of Winona-Mississippi River,Downstream,Lake Pepin,8,8
158,City of Winona-Mississippi River,Downstream,Lower Trempealeau River,8,6
159,City of Winona-Mississippi River,Downstream,Waumandee Creek,8,5
161,Clam River,Downstream,North Fork Clam River,5,5
169,Cranberry Creek-Chippewa River,Downstream,Elk Creek,7,4
171,Cranberry Creek-Chippewa River,Downstream,Lowes Creek-Chippewa River,7,7
172,Cranberry Creek-Chippewa River,Downstream,Muddy Creek,7,4
173,Crawfish River,Downstream,Beaver Dam River,6,5
174,Crawfish River,Downstream,Headwaters Crawfish River,6,5
176,Crawfish River,Downstream,Maunesha River,6,5
182,Dell Creek-Wisconsin River,Downstream,Castle Rock Lake-Wisconsin River,7,7
185,Dell Creek-Wisconsin River,Downstream,Lower Lemonweir River,7,6
188,Devils Lake-Baraboo River,Downstream,Narrows Creek-Baraboo River,6,6
194,Duck Creek-Wisconsin River,Downstream,Dell Creek-Wisconsin River,7,7
195,Duck Creek-Wisconsin River,Downstream,Devils Lake-Baraboo River,7,6
198,Eagle Creek-Fox River,Downstream,Mukwonago River,6,4
199,Eagle Creek-Fox River,Downstream,Pewaukee River-Fox River,6,5
202,Eagle Creek-Fox River,Downstream,Wind Lake Drainage Canal,6,5
203,Eagle River,Downstream,Deerskin River,5,4
206,East Branch Pecatonica River,Downstream,Blue Mounds Branch,6,5
208,East Branch Pecatonica River,Downstream,Ridgeway Branch-East Branch Pecatonica River,6,6
210,East Branch Pecatonica River,Downstream,Yellowstone River,6,4
222,Eau Claire Flowage-Wisconsin River,Downstream,Alexander Lake-Wisconsin River,7,6
223,Eau Claire Flowage-Wisconsin River,Downstream,Big Sandy Creek-Eau Claire River,7,5
225,Eau Claire Flowage-Wisconsin River,Downstream,Pine River,7,4
226,Eau Claire Flowage-Wisconsin River,Downstream,Prairie River,7,4
227,Eau Claire Flowage-Wisconsin River,Downstream,Scotch Creek-Big Rib River,7,5
228,Eau Claire Flowage-Wisconsin River,Downstream,Trappe River,7,4
229,Eau Claire River,Downstream,Hay Creek-Eau Claire River,6,6
231,Eau Claire River,Downstream,Otter Creek,6,4
238,Elk Creek-Buffalo River,Downstream,Harvey Creek-Buffalo River,5,5
242,Evergreen River-Wolf River,Downstream,Lily River,6,5
246,Fisher River-Chippewa River,Downstream,Holcolmbe Flowage-Chippewa River,7,7
248,Fleming Creek-Black River,Downstream,Beaver Creek,6,5
250,Fleming Creek-Black River,Downstream,Robinson Creek-Black River,6,6
258,Fox River-Frontal Green Bay,Downstream,East River,7,5
259,Fox River-Frontal Green Bay,Downstream,Plum Creek-Fox River,7,7
263,Goose Creek-Saint Croix River,Downstream,Chases Brook-Saint Croix River,6,6
265,Goose Creek-Saint Croix River,Downstream,Wood River,6,4
266,Halfway Creek-Mississippi River,Downstream,City of Winona-Mississippi River,8,8
267,Halfway Creek-Mississippi River,Downstream,Fleming Creek-Black River,8,6
273,Hay Creek-Eau Claire River,Downstream,North Fork Eau Claire River,6,5
274,Hay Creek-Eau Claire River,Downstream,South Fork Eau Claire River,6,5
275,Hay Creek-Mississippi River,Downstream,Big River-Mississippi River,6,6
277,Hay Creek-Mississippi River,Downstream,Trimbelle River,6,4
280,Hay River,Downstream,South Fork Hay River,6,5
286,Headwaters Flambeau River,Downstream,Bear River,5,4
287,Headwaters Flambeau River,Downstream,Manitowish River,5,5
299,Hemlock Creek,Downstream,Cranberry Creek,6,5
302,Holcolmbe Flowage-Chippewa River,Downstream,Deer Tail Creek,7,3
304,Holcolmbe Flowage-Chippewa River,Downstream,Jump River,7,5
305,Holcolmbe Flowage-Chippewa River,Downstream,Lower Flambeau River,7,6
306,Holcolmbe Flowage-Chippewa River,Downstream,Soft Maple Creek-Chippewa River,7,6
307,Honey Creek,Downstream,Sugar Creek,4,3
311,Honey Creek-Pecatonica River,Downstream,East Branch Pecatonica River,6,6
312,Honey Creek-Pecatonica River,Downstream,Spafford Creek-Pecatonica River,6,5
317,Johnson Creek-Rock River,Downstream,Ashippun River-Rock River,7,6
319,Johnson Creek-Rock River,Downstream,Crawfish River,7,6
322,Jump River,Downstream,Main Creek,5,4
323,Jump River,Downstream,North Fork Jump River,5,4
324,Jump River,Downstream,South Fork Jump River,5,5
325,Keith Creek-Rock River,Downstream,Pecatonica River,8,8
329,Kickapoo River,Downstream,Tainter Creek-Kickapoo River,6,6
336,Lake Arbutus-Black River,Downstream,East Fork Black River,6,5
338,Lake Arbutus-Black River,Downstream,Morrison Creek,6,4
340,Lake Arbutus-Black River,Downstream,Rock Creek-Black River,6,6
341,Lake Arbutus-Black River,Downstream,Wedges Creek,6,5
343,Lake Butte des Mortes,Downstream,Lake Poygan,7,6
345,Lake Butte des Mortes,Downstream,Puchyan River-Fox River,7,6
349,Lake Chippewa,Downstream,West Fork Chippewa River,6,5
350,Lake Dubay-Big Eau Pleine River,Downstream,Dill Creek-Big Eau Pleine River,5,5
353,Lake Dubay-Wisconsin River,Downstream,Eau Claire Flowage-Wisconsin River,7,7
354,Lake Dubay-Wisconsin River,Downstream,Lake Dubay-Big Eau Pleine River,7,5
355,Lake Dubay-Wisconsin River,Downstream,Little Eau Pleine River,7,5
356,Lake Kegonsa-Yahara River,Downstream,Badfish Creek,5,4
358,Lake Kegonsa-Yahara River,Downstream,Lake Monona-Yahara River,5,5
360,Lake Koshkonong-Rock River,Downstream,Bark River,7,6
361,Lake Koshkonong-Rock River,Downstream,Johnson Creek-Rock River,7,7
362,Lake Koshkonong-Rock River,Downstream,Koshkonong Creek,7,4
365,Lake Mendota-Yahara River,Downstream,Headwaters Yahara River,5,4
369,Lake Menomin-Red Cedar River,Downstream,Hay River,7,6
370,Lake Menomin-Red Cedar River,Downstream,Lower Pine Creek-Red Cedar River,7,7
372,Lake Mohawksin-Wisconsin River,Downstream,Lower Tomahawk River,6,5
373,Lake Mohawksin-Wisconsin River,Downstream,Pelican River,6,5
374,Lake Mohawksin-Wisconsin River,Downstream,Rhinelander Flowage-Wisconsin River,6,5
375,Lake Mohawksin-Wisconsin River,Downstream,Somo River,6,5
378,Lake Monona-Yahara River,Downstream,Lake Mendota-Yahara River,5,5
381,Lake Pepin,Downstream,Hay Creek-Mississippi River,8,6
382,Lake Pepin,Downstream,Rush River,8,5
384,Lake Poygan,Downstream,Partridge Lake-Wolf River,6,6
385,Lake Poygan,Downstream,Willow Creek-Frontal Lake Poygan,6,5
386,Lake Saint Croix,Downstream,Big Marine Lake-Saint Croix River,6,6
388,Lake Saint Croix,Downstream,Kinnickinnic River,6,5
389,Lake Saint Croix,Downstream,Willow River,6,5
390,Lake Winnebago,Downstream,Anderson Creek-Frontal Lake Winnebago,7,5
391,Lake Winnebago,Downstream,De Neveu Creek-Frontal Lake Winnebago,7,3
392,Lake Winnebago,Downstream,Fond Du Lac River,7,5
393,Lake Winnebago,Downstream,Lake Butte des Mortes,7,7
395,Lake Wisconsin-Wisconsin River,Downstream,Duck Creek-Wisconsin River,7,7
398,Lake Wissota,Downstream,Headwaters Yellow River,7,5
400,Legend Lake-Wolf River,Downstream,Evergreen River-Wolf River,6,6
401,Legend Lake-Wolf River,Downstream,Red River,6,4
403,Legend Lake-Wolf River,Downstream,Shawano Lake,6,4
404,Legend Lake-Wolf River,Downstream,West Branch Wolf River,6,4
406,Lily River,Downstream,Swamp Creek,5,5
407,Little Baraboo River-Baraboo River,Downstream,Headwaters Baraboo River,6,5
412,Little Peshtigo River,Downstream,Middle Inlet-Lake Noquebay,6,4
413,Little Peshtigo River,Downstream,Middle Peshtigo River,6,6
422,Little Yellow River-Yellow River,Downstream,Cranberry Creek,6,5
423,Little Yellow River-Yellow River,Downstream,East Fork Black River,6,5
424,Little Yellow River-Yellow River,Downstream,Hemlock Creek,6,6
425,Little Yellow River-Yellow River,Downstream,Rocky Creek-Yellow River,6,5
427,Lower Flambeau River,Downstream,Middle Flambeau River,6,6
428,Lower Flambeau River,Downstream,South Fork Flambeau River,6,6
430,Lower Grand River,Downstream,Upper Grand River,5,4
431,Lower Grant River,Downstream,Middle Grant River,6,6
433,Lower La Crosse River,Downstream,Middle La Crosse River,6,6
437,Lower Lemonweir River,Downstream,Middle Lemonweir River,6,6
439,Lower Milwaukee River-Frontal Lake Michigan,Downstream,Cedar Creek,5,4
440,Lower Milwaukee River-Frontal Lake Michigan,Downstream,Kinnickinnic River,5,3
441,Lower Milwaukee River-Frontal Lake Michigan,Downstream,Menomonee River,5,4
442,Lower Milwaukee River-Frontal Lake Michigan,Downstream,North Branch Milwaukee River,5,4
444,Lower Milwaukee River-Frontal Lake Michigan,Downstream,Upper Milwaukee River,5,5
445,Lower Nemadji River-Frontal Lake Superior,Downstream,Black River,6,4
446,Lower Nemadji River-Frontal Lake Superior,Downstream,Middle Nemadji River,6,6
448,Lower Peshtigo River-Frontal Lake Michigan,Downstream,Little Peshtigo River,6,6
451,Lower Pine Creek-Red Cedar River,Downstream,Brill River-Red Cedar River,7,5
453,Lower Pine Creek-Red Cedar River,Downstream,Lake Chetek,7,6
455,Lower Pine Creek-Red Cedar River,Downstream,Yellow River,7,5
458,Lower Tomahawk River,Downstream,Middle Tomahawk River,5,5
460,Lower Trempealeau River,Downstream,Middle Trempealeau River,6,6
462,Lowes Creek-Chippewa River,Downstream,Eau Claire River,7,6
464,Lowes Creek-Chippewa River,Downstream,Trout Creek-Chippewa River,7,7
468,Manitowoc River-Frontal Lake Michigan,Downstream,Branch River,6,4
469,Manitowoc River-Frontal Lake Michigan,Downstream,North Branch Manitowoc River,6,5
471,Manitowoc River-Frontal Lake Michigan,Downstream,South Branch Manitowoc River,6,5
475,Marsh Creek-Rock River,Downstream,Blackhawk Creek,7,4
477,Marsh Creek-Rock River,Downstream,Lake Kegonsa-Yahara River,7,5
478,Marsh Creek-Rock River,Downstream,Lake Koshkonong-Rock River,7,7
480,Maunesha River,Downstream,Koshkonong Creek,5,4
483,Menominee River,Downstream,Pike River,6,5
484,Menominee River,Downstream,Squaw Creek-Menominee River,6,6
486,Middle Flambeau River,Downstream,Butternut Creek,6,4
489,Middle Flambeau River,Downstream,Upper Flambeau River,6,5
491,Middle Grant River,Downstream,Upper Grant River,6,6
495,Middle La Crosse River,Downstream,Upper La Crosse River,6,5
496,Middle Lemonweir River,Downstream,Beaver Creek,6,6
498,Middle Lemonweir River,Downstream,Upper Lemonweir River,6,6
501,Middle Nemadji River,Downstream,South Fork Nemadji River,6,5
502,Middle Nemadji River,Downstream,Upper Nemadji River,6,5
505,Middle Peshtigo River,Downstream,Rat River,6,4
506,Middle Peshtigo River,Downstream,Upper Peshtigo River,6,4
508,Middle Tomahawk River,Downstream,Upper Tomahawk River,5,4
509,Middle Trempealeau River,Downstream,Elk Creek,6,5
511,Middle Trempealeau River,Downstream,Pigeon Creek,6,4
512,Middle Trempealeau River,Downstream,Upper Trempealeau River,6,5
521,Moose River-Saint Croix River,Downstream,Upper Saint Croix River-Eau Claire River,4,4
522,Mormon Creek-Mississippi River,Downstream,Bad Axe River,8,6
523,Mormon Creek-Mississippi River,Downstream,Coon Creek,8,4
524,Mormon Creek-Mississippi River,Downstream,Pine Creek-Mississippi River,8,8
527,Mud Creek-Wisconsin River,Downstream,Eagle River,5,5
529,Mud Creek-Wisconsin River,Downstream,Pioneer Creek-Wisconsin River,5,4
536,Namekagon River,Downstream,Totagatic River,6,5
537,Namekagon River,Downstream,Trego Lake-Namekagon River,6,5
539,Narrows Creek-Baraboo River,Downstream,Little Baraboo River-Baraboo River,6,6
542,Nippersink Creek,Downstream,North Branch Nippersink Creek,5,4
547,North Branch Embarrass River-Embarrass River,Downstream,South Branch Embarrass River-Embarrass River,5,5
557,North Branch Otter Creek-Sugar River,Downstream,Taylor Creek-Sugar River,6,6
566,Oconto River,Downstream,Little River,6,4
568,Oconto River,Downstream,North Branch Oconto River,6,5
569,Oconto River,Downstream,Peshtigo Brook,6,4
570,Oconto River,Downstream,South Branch Oconto River,6,5
576,Otter Creek-Wisconsin River,Downstream,Lake Wisconsin-Wisconsin River,7,7
577,Partridge Lake-Wolf River,Downstream,Bear Creek-Embarrass River,6,5
578,Partridge Lake-Wolf River,Downstream,Bear Creek-Wolf River,6,6
579,Partridge Lake-Wolf River,Downstream,Blake Creek-Little Wolf River,6,5
581,Partridge Lake-Wolf River,Downstream,Waupaca River,6,5
582,Pecatonica River,Downstream,City of Beloit-Lower Rock River,8,7
584,Pecatonica River,Downstream,North Branch Otter Creek-Sugar River,8,6
585,Pecatonica River,Downstream,Raccoon Creek,8,4
593,Petenwell Lake-Wisconsin River,Downstream,City of Stevens Point-Wisconsin River,7,7
594,Petenwell Lake-Wisconsin River,Downstream,Cranberry Creek,7,5
595,Petenwell Lake-Wisconsin River,Downstream,Fourmile Creek,7,4
596,Petenwell Lake-Wisconsin River,Downstream,Fourteenmile Creek,7,4
597,Petenwell Lake-Wisconsin River,Downstream,Tenmile Creek,7,4
608,Pine Creek-Black River,Downstream,Little Black River-Black River,4,4
611,Pine Creek-Mississippi River,Downstream,Halfway Creek-Mississippi River,8,8
612,Pine Creek-Mississippi River,Downstream,Lower La Crosse River,8,6
616,Pine River,Downstream,Popple River,5,5
618,Pine River,Downstream,Willow Creek,5,4
621,Platte River,Downstream,Little Platte River,6,5
628,Plum Creek-Fox River,Downstream,Lake Winnebago,7,7
635,Puchyan River-Fox River,Downstream,Big Green Lake,6,4
637,Puchyan River-Fox River,Downstream,Mecan River,6,4
638,Puchyan River-Fox River,Downstream,Puckaway Lake-Fox River,6,6
639,Puchyan River-Fox River,Downstream,Rush Creek,6,6
640,Puchyan River-Fox River,Downstream,White River,6,4
641,Puchyan River-Fox River,Downstream,Willow Creek-Frontal Lake Poygan,6,5
642,Puckaway Lake-Fox River,Downstream,Lower Grand River,6,5
643,Puckaway Lake-Fox River,Downstream,Montello River,6,6
644,Puckaway Lake-Fox River,Downstream,Neenah Creek,6,5
646,Puckaway Lake-Fox River,Downstream,Swan Lake-Fox River,6,3
652,Rhinelander Flowage-Wisconsin River,Downstream,Gillmore Creek-Saint Germain River,5,3
654,Rhinelander Flowage-Wisconsin River,Downstream,Mud Creek-Wisconsin River,5,5
658,Ridgeway Branch-East Branch Pecatonica River,Downstream,Dodge Branch,6,5
661,Robinson Creek-Black River,Downstream,Halls Creek,6,5
662,Robinson Creek-Black River,Downstream,Lake Arbutus-Black River,6,6
664,Rock Creek-Black River,Downstream,Pine Creek-Black River,6,4
665,Rock Creek-Black River,Downstream,Popple River,6,5
671,Root River,Downstream,Root River Canal,5,4
677,Rush Creek-Mississippi River,Downstream,Mormon Creek-Mississippi River,8,8
681,School Section Creek-Wolf River,Downstream,Bear Creek-Embarrass River,6,5
683,School Section Creek-Wolf River,Downstream,Legend Lake-Wolf River,6,6
686,Scotch Creek-Big Rib River,Downstream,Black Creek,5,4
688,Scotch Creek-Big Rib River,Downstream,Little Rib River,5,5
689,Scotch Creek-Big Rib River,Downstream,Wood Creek-Big Rib River,5,5
693,Sheboygan River-Frontal Lake Michigan,Downstream,Mullet River,5,4
694,Sheboygan River-Frontal Lake Michigan,Downstream,Onion River,5,4
705,Sinnissippi Lake-Rock River,Downstream,West Branch Rock River-Rock River,6,6
706,Sinsinawa River-Mississippi River,Downstream,Galena River,8,5
707,Sinsinawa River-Mississippi River,Downstream,Sny Magill Creek-Mississippi River,8,8
708,Sny Magill Creek-Mississippi River,Downstream,Bloody Run-Mississippi River,8,8
709,Sny Magill Creek-Mississippi River,Downstream,Lower Grant River,8,6
710,Sny Magill Creek-Mississippi River,Downstream,Platte River,8,6
712,Sny Magill Creek-Mississippi River,Downstream,Wisconsin River,8,7
713,Soft Maple Creek-Chippewa River,Downstream,Brunet River-Chippewa River,6,6
715,Soft Maple Creek-Chippewa River,Downstream,Thornapple River,6,4
725,South Fork Flambeau River,Downstream,Elk River,6,5
726,South Fork Flambeau River,Downstream,Headwaters South Fork Flambeau River,6,5
734,Spafford Creek-Pecatonica River,Downstream,Ames Branch-Pecatonica River,5,5
741,Squaw Creek-Fox River,Downstream,Eagle Creek-Fox River,6,6
742,Squaw Creek-Fox River,Downstream,Nippersink Creek,6,5
743,Squaw Creek-Fox River,Downstream,White River,6,5
744,Squaw Creek-Menominee River,Downstream,Brule River,6,6
746,Squaw Creek-Menominee River,Downstream,Pemebonwon River,6,5
748,Squaw Creek-Menominee River,Downstream,Pine River,6,5
749,Story Creek-Sugar River,Downstream,Allen Creek,5,4
750,Story Creek-Sugar River,Downstream,Headwaters Sugar River,5,5
753,Story Creek-Sugar River,Downstream,West Branch Sugar River,5,5
759,Sylvester Creek-Sugar River,Downstream,Little Sugar River,6,5
760,Sylvester Creek-Sugar River,Downstream,Story Creek-Sugar River,6,5
762,Tainter Creek-Kickapoo River,Downstream,Bear Creek-Kickapoo River,6,5
764,Tainter Creek-Kickapoo River,Downstream,West Fork Kickapoo River,6,5
766,Taylor Creek-Sugar River,Downstream,Sylvester Creek-Sugar River,6,6
772,Trego Lake-Namekagon River,Downstream,Headwaters Namekagon River,5,4
775,Trout Creek-Chippewa River,Downstream,Duncan Creek,7,5
777,Trout Creek-Chippewa River,Downstream,Lake Wissota,7,7
784,Upper Flambeau River,Downstream,Headwaters Flambeau River,5,5
802,Waddams Creek-Pecatonica River,Downstream,Honey Creek-Pecatonica River,6,6
803,Waddams Creek-Pecatonica River,Downstream,Richland Creek,6,4
807,West Branch Rock River-Rock River,Downstream,East Branch Rock River,6,5
822,White River,Downstream,Honey Creek,5,4
831,Wisconsin River,Downstream,City of Boscobel-Wisconsin River,7,7
832,Wisconsin River,Downstream,Kickapoo River,7,6
835,Wolf Creek-Saint Croix River,Downstream,Goose Creek-Saint Croix River,6,6
836,Wolf Creek-Saint Croix River,Downstream,Trade River,6,4
841,Yellow Lake-Yellow River,Downstream,Shell Lake-Yellow River,4,4
